parent_destination,name_cn,name_en,latitude,longitude,kind,country_code,tripadvisor_url,tripadvisor_geo_id
South Island,特卡波湖,Lake Tekapo,-44.00470,170.47710,town,NZ,https://www.tripadvisor.com/Tourism-g255129-Lake_Tekapo_South_Island.html,255129
Hawaii,欧胡岛,Oahu,21.43890,-158.00010,island,US,https://www.tripadvisor.com/Tourism-g29222-Oahu_Hawaii.html,29222
Hawaii,毛伊岛,Maui,20.79840,-156.33190,island,US,https://www.tripadvisor.com/Tourism-g29223-Maui_Hawaii.html,29223
Hawaii,可爱岛,Kauai,22.09640,-159.52610,island,US,https://www.tripadvisor.com/Tourism-g29224-Kauai_Hawaii.html,29224
Hawaii,夏威夷大岛,Island of Hawaii,19.54290,-155.66590,island,US,https://www.tripadvisor.com/Tourism-g29225-Island_of_Hawaii_Hawaii.html,29225
Hawaii,火奴鲁鲁,Honolulu,21.30690,-157.85830,city,US,https://www.tripadvisor.com/Tourism-g29226-Honolulu_Oahu_Hawaii.html,29226
Hawaii,威基基,Waikiki,21.27930,-157.82920,neighborhood,US,https://www.tripadvisor.com/Tourism-g29227-Waikiki_Oahu_Hawaii.html,29227
Hawaii,拉海纳,Lahaina,20.87830,-156.68250,town,US,https://www.tripadvisor.com/Tourism-g29228-Lahaina_Maui_Hawaii.html,29228
Hawaii,希洛,Hilo,19.72410,-155.08680,town,US,https://www.tripadvisor.com/Tourism-g29229-Hilo_Island_of_Hawaii.html,29229
Hawaii,凯卢阿-科纳,Kailua-Kona,19.64060,-155.99690,town,US,https://www.tripadvisor.com/Tourism-g29230-Kailua_Kona_Island_of_Hawaii.html,29230
Hawaii,夏威夷火山国家公园,Hawaii Volcanoes National Park,19.41940,-155.28850,national_park,US,https://www.tripadvisor.com/Tourism-g29231-Hawaii_Volcanoes_National_Park_Island_of_Hawaii.html,29231
Patagonia,埃尔查尔滕,El Chalten,-49.33150,-72.88630,town,AR,https://www.tripadvisor.com/Tourism-g312000-El_Chalten_Santa_Cruz_Province_Argentina.html,312000
Patagonia,埃尔卡拉法特,El Calafate,-50.33790,-72.26480,town,AR,https://www.tripadvisor.com/Tourism-g312001-El_Calafate_Santa_Cruz_Province_Argentina.html,312001
Patagonia,百内国家公园,Torres del Paine,-50.94230,-73.40680,national_park,CL,https://www.tripadvisor.com/Tourism-g312002-Torres_del_Paine_Magallanes_Region_Chile.html,312002
Patagonia,纳塔莱斯港,Puerto Natales,-51.73090,-72.50600,town,CL,https://www.tripadvisor.com/Tourism-g312003-Puerto_Natales_Magallanes_Region_Chile.html,312003
Patagonia,乌斯怀亚,Ushuaia,-54.80190,-68.30300,city,AR,https://www.tripadvisor.com/Tourism-g312004-Ushuaia_Tierra_del_Fuego_Province_Argentina.html,312004
Patagonia,巴里洛切,Bariloche,-41.13350,-71.31030,city,AR,https://www.tripadvisor.com/Tourism-g312005-Bariloche_Rio_Negro_Province_Argentina.html,312005
Patagonia,冰川国家公园,Los Glaciares National Park,-49.99610,-73.24900,national_park,AR,https://www.tripadvisor.com/Tourism-g312006-Los_Glaciares_National_Park_Santa_Cruz_Province_Argentina.html,312006
Iceland,冰岛高地,Highlands of Iceland,64.75000,-18.50000,region,IS,https://www.tripadvisor.com/Tourism-g189000-Icelandic_Highlands.html,189000
Sahara Desert,扎古拉,Zagora,30.33240,-5.83840,town,MA,https://www.tripadvisor.com/Tourism-g293001-Zagora_Draa_Tafilalet_Morocco.html,293001
Sahara Desert,姆哈米德,M'Hamid,29.82420,-5.72080,desert_town,MA,https://www.tripadvisor.com/Tourism-g293002-M_Hamid_Draa_Tafilalet_Morocco.html,293002
Sahara Desert,托泽尔,Tozeur,33.91970,8.13350,town,TN,https://www.tripadvisor.com/Tourism-g293004-Tozeur_Tozeur_Governorate_Tunisia.html,293004
Marrakesh,马拉喀什老城,Medina of Marrakech,31.63150,-7.98640,neighborhood,MA,https://www.tripadvisor.com/Tourism-g293005-Medina_of_Marrakech_Marrakech_Safi_Morocco.html,293005
Marrakesh,乌里卡山谷,Ourika Valley,31.33000,-7.76670,valley,MA,https://www.tripadvisor.com/Tourism-g293006-Ourika_Valley_Marrakech_Safi_Morocco.html,293006
Marrakesh,伊姆利勒,Imlil,31.13500,-7.91940,village,MA,https://www.tripadvisor.com/Tourism-g293007-Imlil_Marrakech_Safi_Morocco.html,293007
Marrakesh,阿特拉斯山脉,Atlas Mountains,31.05900,-7.91500,mountain_region,MA,https://www.tripadvisor.com/Tourism-g293008-Atlas_Mountains_Marrakech_Safi_Morocco.html,293008
